"lead","smoking","married","birth.country","edu","race","income","income.mis","cage","cage2","army","cfamily.size"
1.7,0,1,"Born in Mexico","edu.lt9","mexicanam",2.2,0,2.84221556886227,8.07818933988309,"No",1.39353630899596
2.17,0,1,"Born in 50 US States or Washington, DC","edu.somecol","black",1.14,0,16.8422155688623,283.660225268027,"Yes",-0.60646369100404
3.6,0,0,"Born in Other Non-Spanish Speaking Country","edu.college","otherrace",5,0,-22.1577844311377,490.967410896769,"No",-2.60646369100404
1.1,0,1,"Born in Other Non-Spanish Speaking Country","edu.lt9","white",1.02,0,22.8422155688623,521.766812094374,"No",-1.60646369100404
3.2,0,0,"Born in Other Non-Spanish Speaking Country","edu.lt9","black",1.63,0,18.8422155688623,355.029087543476,"No",-0.60646369100404
1.05,1,1,"Born in 50 US States or Washington, DC","edu.hischl","mexicanam",3.41,0,-20.1577844311377,406.336273172219,"No",-0.60646369100404
1.4,0,1,"Born in 50 US States or Washington, DC","edu.somecol","white",4.38,0,27.8422155688623,775.188967782997,"Yes",-1.60646369100404
1.35,0,1,"Born in 50 US States or Washington, DC","edu.college","white",5,0,0.842215568862272,0.709327064434001,"No",-1.60646369100404
2.03,0,1,"Born in Other Non-Spanish Speaking Country","edu.somecol","white",1.21,0,22.8422155688623,521.766812094374,"No",-1.60646369100404
1.62,0,1,"Born in Other Spanish Speaking Country","edu.9to11","otherhispan",1.81,0,-6.15778443113773,37.9183091003622,"No",1.39353630899596
0.89,0,0,"Born in 50 US States or Washington, DC","edu.college","white",3.85,0,-12.1577844311377,147.811722274015,"No",-2.60646369100404
1.5,1,1,"Born in 50 US States or Washington, DC","edu.9to11","white",1.24,0,-11.1577844311377,124.496153411739,"No",1.39353630899596
0.72,0,0,"Born in 50 US States or Washington, DC","edu.somecol","white",5,0,0.842215568862272,0.709327064434001,"Yes",-2.60646369100404
3.8,1,1,"Born in 50 US States or Washington, DC","edu.hischl","white",1.46,0,22.8422155688623,521.766812094374,"Yes",-1.60646369100404
2.14,1,0,"Born in 50 US States or Washington, DC","edu.lt9","white",0.76,0,5.84221556886227,34.1314827530567,"No",-2.60646369100404
0.85,0,1,"Born in 50 US States or Washington, DC","edu.somecol","mexicanam",2.33,0,-24.1577844311377,583.59854862132,"No",-0.60646369100404
0.9,0,0,"Born in 50 US States or Washington, DC","edu.9to11","mexicanam",0.62,0,-29.1577844311377,850.176392932698,"No",1.39353630899596
3.7,0,0,"Born in Mexico","edu.hischl","mexicanam",2.49236006546645,1,-22.1577844311377,490.967410896769,"No",-2.60646369100404
0.81,0,0,"Born in 50 US States or Washington, DC","edu.college","mexicanam",2.21,0,-12.1577844311377,147.811722274015,"No",-0.60646369100404
1.5,0,1,"Born in 50 US States or Washington, DC","edu.hischl","white",5,0,8.84221556886227,78.1847761662304,"No",-1.60646369100404
2.14,0,1,"Born in 50 US States or Washington, DC","edu.college","black",5,0,16.8422155688623,283.660225268027,"Yes",-1.60646369100404
1.7,1,0,"Born in 50 US States or Washington, DC","edu.9to11","black",1.37,0,-22.1577844311377,490.967410896769,"No",1.39353630899596
1.52,0,0,"Born in 50 US States or Washington, DC","edu.hischl","white",1.92,0,30.8422155688623,951.24226119617,"Yes",-2.60646369100404
1.62,0,1,"Born in Other Non-Spanish Speaking Country","edu.somecol","black",2.69,0,-24.1577844311377,583.59854862132,"No",-2.60646369100404
1.97,0,1,"Born in 50 US States or Washington, DC","edu.hischl","white",3.02,0,21.8422155688623,477.082380956649,"No",-1.60646369100404
0.8,0,1,"Born in 50 US States or Washington, DC","edu.hischl","black",1.24,0,13.8422155688623,191.606931854853,"No",-1.60646369100404
3.67,0,1,"Born in 50 US States or Washington, DC","edu.somecol","white",5,0,22.8422155688623,521.766812094374,"Yes",-0.60646369100404
2.2,0,1,"Born in 50 US States or Washington, DC","edu.9to11","mexicanam",1.81,0,-18.1577844311377,329.705135447668,"No",1.39353630899596
3,1,1,"Born in 50 US States or Washington, DC","edu.9to11","white",1.9,0,-0.157784431137728,0.0248959267094563,"Yes",-1.60646369100404
1.7,0,1,"Born in 50 US States or Washington, DC","edu.hischl","white",5,0,10.8422155688623,117.553638441679,"No",-1.60646369100404
7.75,1,0,"Born in 50 US States or Washington, DC","edu.somecol","black",5,0,0.842215568862272,0.709327064434001,"No",-2.60646369100404
1.9,1,0,"Born in 50 US States or Washington, DC","edu.9to11","white",1.28,0,5.84221556886227,34.1314827530567,"No",-0.60646369100404
2.14,1,1,"Born in 50 US States or Washington, DC","edu.somecol","white",1.28,0,-7.15778443113773,51.2338779626376,"No",-0.60646369100404
1.92,1,1,"Born in 50 US States or Washington, DC","edu.9to11","white",0.84,0,-12.1577844311377,147.811722274015,"No",-0.60646369100404
1.12,0,0,"Born in 50 US States or Washington, DC","edu.college","black",1.63,0,-22.1577844311377,490.967410896769,"No",0.39353630899596
1.2,0,0,"Born in 50 US States or Washington, DC","edu.hischl","white",5,0,-11.1577844311377,124.496153411739,"No",-2.60646369100404
4,0,0,"Born in 50 US States or Washington, DC","edu.lt9","black",0.99,0,19.8422155688623,393.7135186812,"No",-2.60646369100404
4.38,0,0,"Born in 50 US States or Washington, DC","edu.college","black",2.88,0,29.8422155688623,890.557830058446,"No",-2.60646369100404
6.5,0,0,"Born in Mexico","edu.hischl","mexicanam",2.52,0,-21.1577844311377,447.651842034494,"No",0.39353630899596
2.28,1,1,"Born in 50 US States or Washington, DC","edu.9to11","white",1.01,0,-8.15778443113773,66.5494468249131,"No",1.39353630899596
1.65,0,0,"Born in 50 US States or Washington, DC","edu.college","white",5,0,-17.1577844311377,294.389566585392,"No",-2.60646369100404
0.57,0,0,"Born in 50 US States or Washington, DC","edu.9to11","mexicanam",0.48,0,-28.1577844311377,792.860824070422,"No",-0.60646369100404
1.6,1,1,"Born in 50 US States or Washington, DC","edu.hischl","white",4.38,0,16.8422155688623,283.660225268027,"Yes",-1.60646369100404
1.1,0,0,"Born in 50 US States or Washington, DC","edu.hischl","white",1.18,0,-6.15778443113773,37.9183091003622,"Yes",-2.60646369100404
2.3,1,1,"Born in 50 US States or Washington, DC","edu.hischl","white",1.61,0,-5.15778443113773,26.6027402380867,"No",-1.60646369100404
1.24,1,1,"Born in 50 US States or Washington, DC","edu.hischl","mexicanam",1.09,0,-14.1577844311377,200.442859998566,"No",2.39353630899596
1.99,0,0,"Born in Mexico","edu.lt9","mexicanam",0.47,0,-21.1577844311377,447.651842034494,"No",0.39353630899596
0.39,0,0,"Born in 50 US States or Washington, DC","edu.somecol","otherhispan",2.82,0,-28.1577844311377,792.860824070422,"No",1.39353630899596
5.7,0,1,"Born in 50 US States or Washington, DC","edu.college","white",4.38,0,28.8422155688623,831.873398920721,"No",-1.60646369100404
